x,variable,value,L1,site,,,
21/04/1987,y,NA,TM,As,,,
21/04/1987,y,0.164,TM,Gs1,,,
21/04/1987,y,NA,TM,Gs2,,,
21/04/1987,y,NA,TM,Gs3,,,
21/04/1987,y,NA,TM,Gs4,,,
21/04/1987,y,NA,TM,Reveg,,,
21/04/1987,y,NA,TM,Sval1,,,
21/04/1987,y,NA,TM,Sval3,,,
21/04/1987,y,NA,TM,Sval6,,,
21/04/1987,y,NA,TM,Sval7,,,
21/04/1987,y,NA,TM,Sval8,,,
21/04/1987,y,NA,TM,Sval9,,,
07/05/1987,y,NA,TM,As,,,
07/05/1987,y,NA,TM,Gs1,,,
07/05/1987,y,NA,TM,Gs2,,,
07/05/1987,y,NA,TM,Gs3,,,
07/05/1987,y,NA,TM,Gs4,,,
07/05/1987,y,0.189,TM,Reveg,,,
07/05/1987,y,0.297,TM,Sval1,,,
07/05/1987,y,0.243,TM,Sval3,,,
07/05/1987,y,NA,TM,Sval6,,,
07/05/1987,y,NA,TM,Sval7,,,
07/05/1987,y,NA,TM,Sval8,,,
07/05/1987,y,NA,TM,Sval9,,,
21/05/1987,y,0.354,TM,As,,,
21/05/1987,y,NA,TM,Gs1,,,
21/05/1987,y,NA,TM,Gs2,,,
21/05/1987,y,NA,TM,Gs3,,,
21/05/1987,y,NA,TM,Gs4,,,
21/05/1987,y,0.265,TM,Reveg,,,
21/05/1987,y,0.294,TM,Sval1,,,
21/05/1987,y,0.3,TM,Sval3,,,
21/05/1987,y,0.25,TM,Sval6,,,
21/05/1987,y,0.285,TM,Sval7,,,
21/05/1987,y,0.252,TM,Sval8,,,
21/05/1987,y,0.264,TM,Sval9,,,
23/05/1987,y,0.377,TM,As,,,
23/05/1987,y,0.323,TM,Gs1,,,
23/05/1987,y,0.309,TM,Gs2,,,
23/05/1987,y,0.341,TM,Gs3,,,
23/05/1987,y,0.311,TM,Gs4,,,
23/05/1987,y,0.279,TM,Reveg,,,
23/05/1987,y,0.318,TM,Sval1,,,
23/05/1987,y,0.322,TM,Sval3,,,
23/05/1987,y,0.266,TM,Sval6,,,
23/05/1987,y,0.31,TM,Sval7,,,
23/05/1987,y,0.271,TM,Sval8,,,
23/05/1987,y,0.279,TM,Sval9,,,
22/06/1987,y,NA,TM,As,,,
22/06/1987,y,NA,TM,Gs1,,,
22/06/1987,y,NA,TM,Gs2,,,
22/06/1987,y,NA,TM,Gs3,,,
22/06/1987,y,NA,TM,Gs4,,,
22/06/1987,y,NA,TM,Reveg,,,
22/06/1987,y,NA,TM,Sval1,,,
22/06/1987,y,NA,TM,Sval3,,,
22/06/1987,y,NA,TM,Sval6,,,
22/06/1987,y,NA,TM,Sval7,,,
22/06/1987,y,NA,TM,Sval8,,,
22/06/1987,y,NA,TM,Sval9,,,
10/07/1987,y,0.588,TM,As,,,
10/07/1987,y,0.492,TM,Gs1,,,
10/07/1987,y,0.468,TM,Gs2,,,
10/07/1987,y,0.51,TM,Gs3,,,
10/07/1987,y,0.476,TM,Gs4,,,
10/07/1987,y,0.437,TM,Reveg,,,
10/07/1987,y,0.47,TM,Sval1,,,
10/07/1987,y,0.469,TM,Sval3,,,
10/07/1987,y,0.447,TM,Sval6,,,
10/07/1987,y,0.483,TM,Sval7,,,
10/07/1987,y,0.494,TM,Sval8,,,
10/07/1987,y,0.47,TM,Sval9,,,
11/08/1987,y,0.566,TM,As,,,
11/08/1987,y,0.454,TM,Gs1,,,
11/08/1987,y,0.431,TM,Gs2,,,
11/08/1987,y,0.472,TM,Gs3,,,
11/08/1987,y,0.432,TM,Gs4,,,
11/08/1987,y,0.404,TM,Reveg,,,
11/08/1987,y,0.438,TM,Sval1,,,
11/08/1987,y,0.45,TM,Sval3,,,
11/08/1987,y,0.419,TM,Sval6,,,
11/08/1987,y,0.461,TM,Sval7,,,
11/08/1987,y,0.467,TM,Sval8,,,
11/08/1987,y,0.445,TM,Sval9,,,
27/08/1987,y,NA,TM,As,,,
27/08/1987,y,0.45,TM,Gs1,,,
27/08/1987,y,0.43,TM,Gs2,,,
27/08/1987,y,0.472,TM,Gs3,,,
27/08/1987,y,0.439,TM,Gs4,,,
27/08/1987,y,NA,TM,Reveg,,,
27/08/1987,y,NA,TM,Sval1,,,
27/08/1987,y,NA,TM,Sval3,,,
27/08/1987,y,NA,TM,Sval6,,,
27/08/1987,y,NA,TM,Sval7,,,
27/08/1987,y,NA,TM,Sval8,,,
27/08/1987,y,NA,TM,Sval9,,,
28/09/1987,y,0.387,TM,As,,,
28/09/1987,y,0.353,TM,Gs1,,,
28/09/1987,y,0.332,TM,Gs2,,,
28/09/1987,y,0.375,TM,Gs3,,,
28/09/1987,y,0.34,TM,Gs4,,,
28/09/1987,y,0.315,TM,Reveg,,,
28/09/1987,y,0.348,TM,Sval1,,,
28/09/1987,y,0.354,TM,Sval3,,,
28/09/1987,y,0.284,TM,Sval6,,,
28/09/1987,y,0.333,TM,Sval7,,,
28/09/1987,y,0.305,TM,Sval8,,,
28/09/1987,y,0.319,TM,Sval9,,,
21/10/1987,y,NA,TM,As,,,
21/10/1987,y,NA,TM,Gs1,,,
21/10/1987,y,NA,TM,Gs2,,,
21/10/1987,y,NA,TM,Gs3,,,
21/10/1987,y,NA,TM,Gs4,,,
21/10/1987,y,0.212,TM,Reveg,,,
21/10/1987,y,0.232,TM,Sval1,,,
21/10/1987,y,NA,TM,Sval3,,,
21/10/1987,y,NA,TM,Sval6,,,
21/10/1987,y,NA,TM,Sval7,,,
21/10/1987,y,NA,TM,Sval8,,,
21/10/1987,y,NA,TM,Sval9,,,
06/03/1988,y,NA,TM,As,,,
06/03/1988,y,NA,TM,Gs1,,,
06/03/1988,y,NA,TM,Gs2,,,
06/03/1988,y,NA,TM,Gs3,,,
06/03/1988,y,NA,TM,Gs4,,,
06/03/1988,y,-0.203,TM,Reveg,,,
06/03/1988,y,-0.123,TM,Sval1,,,
06/03/1988,y,NA,TM,Sval3,,,
06/03/1988,y,NA,TM,Sval6,,,
06/03/1988,y,NA,TM,Sval7,,,
06/03/1988,y,NA,TM,Sval8,,,
06/03/1988,y,NA,TM,Sval9,,,
20/03/1988,y,NA,TM,As,,,
20/03/1988,y,NA,TM,Gs1,,,
20/03/1988,y,NA,TM,Gs2,,,
20/03/1988,y,NA,TM,Gs3,,,
20/03/1988,y,NA,TM,Gs4,,,
20/03/1988,y,NA,TM,Reveg,,,
20/03/1988,y,NA,TM,Sval1,,,
20/03/1988,y,NA,TM,Sval3,,,
20/03/1988,y,NA,TM,Sval6,,,
20/03/1988,y,NA,TM,Sval7,,,
20/03/1988,y,NA,TM,Sval8,,,
20/03/1988,y,NA,TM,Sval9,,,
07/04/1988,y,NA,TM,As,,,
07/04/1988,y,NA,TM,Gs1,,,
07/04/1988,y,NA,TM,Gs2,,,
07/04/1988,y,NA,TM,Gs3,,,
